Energy	mut
8960.006836 0.000471
8962.012695 -0.002078
8963.983398 0.000867
8965.991211 -0.004692
8967.999023 0.005433
8970.007813 0.001491
8972.016602 0.003022
8973.993164 0.010095
8976.004883 0.012072
8978.016602 0.026177
8979.996094 0.042894
8982.009766 0.093753
8983.990234 0.260420
8986.006836 0.516854
8987.989258 0.551123
8990.006836 0.740954
8991.991211 0.992993
8994.010742 1.114431
8995.997070 1.183029
8997.983398 1.223459
9000.005859 1.203841
9001.995117 1.143380
9003.984375 1.089093
9006.009766 1.039976
9008.000977 1.025229
9009.993164 1.031234
9011.986328 1.045614
9014.015625 1.036999
9016.010742 1.028406
9018.005859 1.014480
9020.002930 0.991436
9022.000977 0.956403
9023.999023 0.931599
9025.999023 0.921394
9027.999023 0.918734
9030.000000 0.933276
9032.002930 0.955755
9034.005859 0.976177
9036.009766 0.999752
9038.014648 1.021933
9039.985352 1.046383
