Energy	mut
8960.006836 -0.001878
8962.012695 0.004611
8963.983398 0.002044
8965.991211 -0.002573
8967.999023 -0.002204
8970.007813 0.006975
8972.016602 0.001825
8973.993164 0.010914
8976.004883 0.015351
8978.016602 0.046792
8979.996094 0.112480
8982.009766 0.204514
8983.990234 0.357873
8986.006836 0.517765
8987.989258 0.624684
8990.006836 0.826144
8991.991211 1.057834
8994.010742 1.197577
8995.997070 1.300117
8997.983398 1.320678
9000.005859 1.268445
9001.995117 1.182505
9003.984375 1.110816
9006.009766 1.071197
9008.000977 1.044934
9009.993164 1.047564
9011.986328 1.043961
9014.015625 1.036116
9016.010742 1.017616
9018.005859 1.004636
9020.002930 0.978423
9022.000977 0.943146
9023.999023 0.926725
9025.999023 0.921383
9027.999023 0.929239
9030.000000 0.931926
9032.002930 0.946435
9034.005859 0.975730
9036.009766 1.004102
9038.014648 1.020085
9039.985352 1.053647
