Energy	mut
8960.006836 0.001306
8962.012695 -0.001312
8963.983398 -0.003528
8965.991211 0.004499
8967.999023 -0.000963
8970.007813 0.007897
8972.016602 0.011788
8973.993164 0.018934
8976.004883 0.049546
8978.016602 0.192716
8979.996094 0.480241
8982.009766 0.500634
8983.990234 0.535828
8986.006836 0.621816
8987.989258 0.747302
8990.006836 0.932103
8991.991211 1.068867
8994.010742 1.065601
8995.997070 1.006759
8997.983398 0.997308
9000.005859 1.051295
9001.995117 1.098243
9003.984375 1.053142
9006.009766 1.003445
9008.000977 0.969362
9009.993164 0.952246
9011.986328 0.952425
9014.015625 0.974605
9016.010742 1.005495
9018.005859 1.031114
9020.002930 1.069871
9022.000977 1.094236
9023.999023 1.104510
9025.999023 1.088642
9027.999023 1.058264
9030.000000 1.032989
9032.002930 1.002836
9034.005859 0.994678
9036.009766 0.988562
9038.014648 1.001662
9039.985352 1.012262
