Energy	mut
8960.006836 -0.001645
8962.012695 -0.000185
8963.983398 -0.005486
8965.991211 0.005716
8967.999023 0.001600
8970.007813 0.008034
8972.016602 0.011405
8973.993164 0.017009
8976.004883 0.034018
8978.016602 0.083975
8979.996094 0.360975
8982.009766 0.621332
8983.990234 0.540507
8986.006836 0.651150
8987.989258 0.785141
8990.006836 0.951285
8991.991211 1.143841
8994.010742 1.205933
8995.997070 1.187430
8997.983398 1.094025
9000.005859 1.019118
9001.995117 0.996329
9003.984375 1.022580
9006.009766 1.050265
9008.000977 1.081961
9009.993164 1.091232
9011.986328 1.087795
9014.015625 1.078187
9016.010742 1.046509
9018.005859 1.002580
9020.002930 0.985510
9022.000977 0.971747
9023.999023 0.964233
9025.999023 0.956121
9027.999023 0.949428
9030.000000 0.955563
9032.002930 0.965057
9034.005859 0.983691
9036.009766 0.995243
9038.014648 1.014762
9039.985352 1.041247
